"Timestamp","Tactic","Technique","EventId","Image","ParentImage","CommandLine","User","TargetFile","Notes"
"8/26/2026 1:35:23 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:37:01 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:37:17 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:37:31 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:37:47 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:38:01 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:38:17 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:38:32 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:38:47 PM","CommandAndControl","T1071.001 HTTP beacon (NetworkConnect)","3","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","SEC504STUDENT\Sec504","","src=10.10.0.1 dest=10.10.75.1:8080 proto=tcp"
"8/26/2026 1:52:03 PM","Impact-InhibitRecovery","T1490 Inhibit Recovery (vssadmin list only)","1","C:\Windows\System32\vssadmin.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\WINDOWS\system32\vssadmin.exe"" list shadows","SEC504STUDENT\Sec504","","Enumeration of shadow copies / volumes â€” not delete"
"8/26/2026 1:52:04 PM","Impact-InhibitRecovery","T1490 Inhibit Recovery (vssadmin list only)","1","C:\Windows\System32\vssadmin.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\WINDOWS\system32\vssadmin.exe"" list volumes","SEC504STUDENT\Sec504","","Enumeration of shadow copies / volumes â€” not delete"
"8/26/2026 1:52:05 PM","Impact-InhibitRecovery","T1490 Inhibit Recovery (wbadmin get versions)","1","C:\Windows\System32\wbadmin.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\WINDOWS\system32\wbadmin.exe"" get versions","SEC504STUDENT\Sec504","","Backup version enumeration â€” not catalog delete"
"8/26/2026 1:52:26 PM","Impact-InhibitRecovery","T1490 Inhibit Recovery (bcdedit /enum)","1","C:\Windows\System32\bcdedit.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\WINDOWS\system32\bcdedit.exe"" /enum {current}","SEC504STUDENT\Sec504","","Boot configuration enumeration â€” not disable recovery"
"8/26/2026 1:56:05 PM","Impact-Encrypt","T1486 Data Encrypted for Impact (lab script)","1","C:\Windows\System32\notepad.exe","C:\Windows\explorer.exe","""C:\WINDOWS\system32\NOTEPAD.EXE"" C:\Tools\Python Attack Labs\PurpleTeam-Phase4\PurpleTeam-Phase4\ImpactSandbox\READ_ME_PURPLETEAM.txt","SEC504STUDENT\Sec504","","Phase 4 Impact demo script or sandbox artifact in CommandLine"
